School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address 1,Postal Address 2,Postal Address 3,Postal Code,Urban Area,School Type,Definition,Authority,Gender of Students,Territorial Authority with Auckland Local Board,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Maori Electorate,Census Area Unit,Ward,Community of Learning: ID,Community of Learning: Name,Longitude,Latitude,Decile,Total School Roll,European / Pakeha,Maori,Pasifika,Asian,MELAA,Other,International
2352,Coley Street School,06 363 8117,06 363 5504,office@coleystreet.school.nz,Peter Kemp,http://coleystreet.spikeatschool.co.nz,Coley Street,,Foxton,Coley Street,,Foxton,4814,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Foxton,Kere Kere Ward,99192,Kerekere Community of Learning,175.293131,-40.475633,2,204,100,97,2,4,1,0,0
2353,College Street Normal School,06 358 1092,06 357 7207,office@csn.school.nz,Ross Kennedy,http://www.csn.school.nz/,402 College Street,Hokowhitu,Palmerston North,402 College Street,Hokowhitu,Palmerston North,4410,Main Urban Area,Contributing,Normal School,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Hokowhitu West,Area Outside Ward,99165,Palmerston North City & Rural Schools Community of Learning One,175.619958,-40.360635,8,552,278,72,11,163,17,8,3
2354,Colyton School,06 328 7877,,office@colyton.school.nz,Sam Bradnock,https://sites.google.com/a/colyton.school.nz/colyton-school1/home,Colyton Road,,Feilding,421 Colyton Road RD 5,,Feilding,4775,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Tokorangi-Hiwinui,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.648672,-40.226793,9,112,95,12,1,2,1,1,0
2355,Durie Hill School,06 345 5946,06 347 9032,jeanc@duriehill.school.nz,Geoffrey Simes,http://www.duriehill.school.nz,Portal Street,Durie Hill,Whanganui,109 Portal Street,Durie Hill,Whanganui,4500,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Durie Hill,Area Outside Ward,,,175.074217,-39.938773,5,277,194,74,4,4,0,1,0
2356,Feilding Intermediate,06 323 6528,06 323 8285,,Diane Crate,http://www.feildingintermediate.school.nz,95 East Street,,Feilding,95 East Street,,Feilding,4702,Secondary Urban Area,Intermediate,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Feilding East,Feilding Ward,99134,Feilding Community of Learning,175.578245,-40.22273,5,358,227,111,11,3,5,1,0
2357,Fordell School,06 342 7828,06 342 7590,officeadmin@fordell.school.nz,Yvette Moorhouse,http://www.fordell.school.nz,Budge Street,,Fordell,Budge Street RD 2,,Whanganui,4572,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,,,175.199485,-39.959096,7,88,71,17,0,0,0,0,0
2358,Foxton Beach School,06 363 8331,06 363 8329,office@foxtonbeach.school.nz,Hamish Stuart,http://www.foxtonbeach.school.nz,10 Carthew Terrace,,Foxton Beach,10 Carthew Terrace,Foxton Beach,Foxton,4815,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Foxton Beach,Kere Kere Ward,99192,Kerekere Community of Learning,175.226175,-40.461326,5,173,118,47,7,1,0,0,0
2359,Foxton School,06 363 8269,06 363 5852,office@foxton.school.nz,Ani Skipper,http://www.foxton.school.nz/,Park Street,,Foxton,Park Street,,Foxton,4814,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Horowhenua District,Manawatu-Wanganui Region,Wellington,Wellington,Otaki,Te Tai Hauauru,Foxton,Kere Kere Ward,99192,Kerekere Community of Learning,175.281985,-40.468783,1,72,14,56,2,0,0,0,0
2360,Glen Oroua School,06 329 7859,06 329 7848,glenoroua@glenoroua.school.nz,Raylene Franks,,Sansons Road,,Palmerston North,Sansons Road RD 3,,Palmerston North,4473,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Oroua Downs-Waitohi,Southern Manawatu Rural Ward,99165,Palmerston North City & Rural Schools Community of Learning One,175.411627,-40.330995,9,71,65,4,2,0,0,0,0
2361,Gonville School,06 345 7194,06 345 7194,gelgar@gonville.school.nz,Greg Elgar,http://www.gonville.school.nz,Gonville Avenue,Gonville,Whanganui,Gonville Avenue,Gonville,Whanganui,4501,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Gonville South,Area Outside Ward,,,175.030564,-39.94313,2,213,100,98,14,1,0,0,0
2362,Halcombe Primary School,06 328 8845,06 328 8847,office@halcombe.school.nz,Susan Simpson,http://www.halcombe.school.nz,30 Monteith Street,Halcombe,Feilding,Monteith Street RD 9,,Feilding,4779,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Halcombe,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.498388,-40.147005,8,182,150,25,0,4,2,1,0
2363,Somerset Crescent School,06 354 3274,06 355 9265,office@somersetcres.school.nz,Teena Johnson,http://www.somersetcres.school.nz,45 Somerset Crescent,Highbury,Palmerston North,P O Box 4544,Manawatu Mail Centre,Palmerston North,4442,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Highbury,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.584621,-40.352945,1,248,36,155,52,3,1,1,0
2364,Hiwinui School,06 354 0488,06 326 8015,office@hiwinui.school.nz,Brenda Leigh,http://hiwinui.school.nz,Watershed Road,,Palmerston North,198 Watershed Road RD 10,,Palmerston North,4470,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Tokorangi-Hiwinui,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.702582,-40.271458,9,142,129,9,3,0,1,0,0
2365,Hokowhitu School,06 357 9667,06 353 0573,office@hokowhitu.school.nz,Linette Dixon,http://www.hokowhitu.school.nz,227 Albert Street,,Palmerston North,227 Albert Street,Hokowhitu,Palmerston North,4410,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Hokowhitu East,Area Outside Ward,99052,Palmerston North East Community of Learning,175.6297,-40.357043,7,386,206,66,22,55,19,13,5
2366,Hunterville Consolidated School,06 322 8210,06 322 8294,office@hunterville.school.nz,Colleen Dalley,http://www.hunterville.school.nz,33 Bruce Street,,Hunterville,33 Bruce Street,,Hunterville,4730,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Hunterville,Hunterville Ward,99078,South Rangitikei Community of Learning,175.564246,-39.935509,5,157,121,35,0,0,1,0,0
2368,James Cook School,06 327 8229,06 327 8829,office@jamescook.school.nz,Michelle Cameron,,Mill Street,,Marton,53 Mill Street,,Marton,4710,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Marton,Marton Ward,99078,South Rangitikei Community of Learning,175.373038,-40.078508,2,198,85,80,31,2,0,0,0
2369,Kai Iwi School,06 342 9823,06 342 9827,office@kaiiwi.school.nz,Ross Harvey,http://www.kaiiwi.school.nz/,State Highway 3,Kai Iwi,Whanganui,State Highway 3 RD 4,,Whanganui,4574,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Maxwell,Area Outside Ward,,,174.931957,-39.851056,6,81,58,20,0,3,0,0,0
2370,Kairanga School,06 329 0824,06 329 0825,,Alastair Schaw,http://www.kairanga.school.nz,1099 Kairanga-Bunnythorpe Road,,Palmerston North,1099 Kairanga Bunnythorpe Road RD 5,,Palmerston North,4475,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Kairanga,Area Outside Ward,99165,Palmerston North City & Rural Schools Community of Learning One,175.53365,-40.347704,8,173,130,32,3,3,3,2,0
2371,Kaitieke School,07 895 6504,07 895 9504,office@kaitieke.school.nz,Deborah Couper,http://www.kaitieke.school.nz,Kaitieke Road,Kaitieke,Owhango,Kaitieke Road RD 2,,Owhango,3990,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Raurimu,National Park Ward,,,175.272346,-39.101155,10,19,17,2,0,0,0,0,0
2372,Kaitoke School (Wanganui),06 345 0474,06 345 0475,office@kaitokeschool.com,Elizabeth Schaw (Acting),http://www.kaitokeschool.com,16 Concord Line,Kaitoke,Whanganui,16 Concord Line RD 2,,Whanganui,4572,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,,,175.100271,-39.960891,5,110,73,29,2,5,1,0,0
2374,Kakaramea School,06 273 8695,06 273 8695,office@kakaramea.school.nz,Shannon O'Brien,,2193 South Road,,Patea,2193 South Road RD 2,,Patea,4598,Rural Area,Contributing,Not Applicable,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Whenuakura,Patea Ward,99168,South Taranaki - Patea Community of Learning,174.446672,-39.706672,5,74,49,20,3,2,0,0,0
2375,Kakatahi School,06 342 8821,,kakatahi@xtra.co.nz,Barry Garland,,4315 Parapara Road,,Kakatahi,Parapara Road RD 3,,Whanganui,4573,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,,,175.335335,-39.690565,2,8,4,4,0,0,0,0,0
2377,TKKM o Tupoho,06 349 0552,06 349 0553,tupoho@xtra.co.nz,Stuart Kawau,,18 Cross Street,Castlecliff,Whanganui,18 Cross Street,Castlecliff,Whanganui,4501,Main Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Castlecliff South,Area Outside Ward,99170,Te Hononga Kahui Kura - Kahui Ako,174.995812,-39.941396,1,158,0,158,0,0,0,0,0
2378,Keith Street School,06 349 1111,06 349 1112,office@keithst.school.nz,Linda Ireton,http://www.keithst.school.nz,38 Keith Street,,Whanganui,38 Keith Street,,Whanganui,4500,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Laird Park,Area Outside Ward,,,175.046264,-39.922316,2,189,54,107,20,6,1,1,0
2379,Kimbolton School,06 328 5880,06 328 5808,office@kimbolton.school.nz,Linda Campbell,http://www.kimbolton.school.nz,Flyger Street,,Kimbolton,4 Henderson Street RD 54,,Kimbolton,4774,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Kiwitea,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.778381,-40.053459,5,68,57,9,1,0,0,1,0
2382,Kiwitea School,06 328 9744,06 328 9744,office@kiwitea.school.nz,Nicky Fielder,http://kiwitea.school.nz,7 Perry Line,,Feilding,7 Perry Line RD 7,,Feilding,4777,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Kiwitea,Northern Manawatu Rural Ward,99134,Feilding Community of Learning,175.72042,-40.106993,9,45,34,8,0,0,0,3,0
2383,TKKM o Ngati Ruanui,06 278 4350,06 278 4350,kkm@ngatiruanui.school.nz,Cushla Close (Acting),,2 Manawapou Road,,Hawera,P O Box 233,,Hawera,4640,Secondary Urban Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,South Taranaki District,Taranaki Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Ohawe Beach,Tangahoe Ward,,,174.269905,-39.592043,2,42,0,42,0,0,0,0,0
2384,Te Kura o Kokohuia,06 344 6368,06 344 3463,kokohuia@kokohuia.co.nz,Tuhi Smith,,36 Matipo Street,Castlecliff,Whanganui,36 Matipo Street,Castlecliff,Whanganui,4501,Main Urban Area,Composite,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Balgownie,Area Outside Ward,99170,Te Hononga Kahui Kura - Kahui Ako,175.004318,-39.943697,1,112,1,108,2,0,0,1,0
2385,Kopane School,06 324 8717,06 324 8717,office@kopane.school.nz,Mike Hope,http://www.kopane.school.nz,Rongotea Road,,Palmerston North,1058 Rongotea Road RD 6,,Palmerston North,4476,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Oroua Downs-Waitohi,Southern Manawatu Rural Ward,99165,Palmerston North City & Rural Schools Community of Learning One,175.487356,-40.310271,8,48,38,8,0,1,0,1,0
2386,Linton Camp School,06 325 8740,,office@lintoncamp.school.nz,Geoffrey Franks,http://www.lintoncamp.school.nz,Puttick Road,,Linton Camp,Puttick Road,Linton Camp,Palmerston North,4820,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Linton Military Camp,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.591489,-40.411656,10,150,44,91,3,4,0,8,0
2387,Linton Country School,06 325 8871,06 325 8871,linton.office@gmail.com,Katy Marsh,http://www.lintoncountry.school.nz,77 Akers Road,Linton,Palmerston North,77 Akers Road RD 2,,Palmerston North,4472,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Turitea,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.551309,-40.429774,6,12,6,5,1,0,0,0,0
2388,Longburn School,06 355 1642,06 355 1644,office@longburn.school.nz,Joanne Emerson ,http://www.longburn.school.nz,Carey Street,Longburn,Palmerston North,Carey Street,Longburn,Palmerston North,4412,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Longburn,Area Outside Ward,99166,Palmerston North City & Rural Schools Community of Learning Two,175.543011,-40.384889,4,109,73,31,1,2,1,1,0
2389,Lytton Street School,06 323 6687,06 323 5941,office@lyttonstreet.school.nz,Ben Ward-Smith,http://www.lyttonstreet.school.nz,Lytton Street,,Feilding,Lytton Street,,Feilding,4702,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Feilding Central,Feilding Ward,99134,Feilding Community of Learning,175.576842,-40.218404,4,553,348,174,13,10,2,6,0
2390,Manchester Street School,06 323 6175,06 323 3616,office@manchesterstreet.school.nz,Glen Richardson,http://www.manchesterstreet.school.nz/,160 Manchester Street,,Feilding,160 Manchester Street,,Feilding,4702,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Manawatu District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Feilding West,Feilding Ward,99134,Feilding Community of Learning,175.560691,-40.222117,6,385,283,88,2,6,5,1,0
2391,Mangamahu Primary School,06 342 2807,06 342 2807,office@mangamahu.school.nz,Rosalie Matthews,http://www.mangamahu.school.nz,46 Kowhai Street,,Mangamahu,46 Kowhai Street RD 16,,Whanganui,4586,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Fordell-Kakatahi,Area Outside Ward,,,175.362156,-39.81776,3,7,2,4,1,0,0,0,0
2392,Mangaweka School,06 382 5703,06 382 5703,office@mangaweka.school.nz,Maree Rossiter,http://www.mangaweka.school.nz,5 Raumaewa Road,,Mangaweka,P O Box 32,,Mangaweka,4746,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Mangaweka,Taihape Ward,99169,Taihape Community of Learning,175.790341,-39.80756,6,14,10,3,1,0,0,0,0
2393,Manunui School,07 895 7143,07 895 7143,manunui@xtra.co.nz,Tracey Woods,,140 Totara Street State Highway 4,,Taumarunui,140 Totara Street,Manunui,Taumarunui,3924,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Ruapehu District,Manawatu-Wanganui Region,Hamilton,Waikato,Rangitikei,Te Tai Hauauru,Manunui,Taumarunui Ward,,,175.323172,-38.888887,2,139,32,106,0,0,0,1,0
2395,St Marcellin School (Wanganui),06 349 0023,06 349 0024,stmarcellin@welearn.school.nz,Maia Williams,http://www.stmarcellin.school.nz/,Totara Street,,Whanganui,Totara Street,Tawhero,Whanganui,4501,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Whanganui District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Whanganui,Te Tai Hauauru,Tawhero,Area Outside Ward,,,175.015338,-39.937475,2,56,14,24,10,7,0,1,0
2396,Marton Junction School,06 327 7812,06 327 7812,principal@martonjunction.school.nz,Vanessa Te Ua,,Alexandra Street,,Marton,P O Box 78,,Marton,4741,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Marton,Marton Ward,99078,South Rangitikei Community of Learning,175.38788,-40.087931,2,109,33,67,7,2,0,0,0
2397,Marton School,06 327 8555,06 327 8555,office@marton.school.nz,Brya Dixon,http://www.marton.school.nz,Hereford Street,,Marton,20 Hereford Street,,Marton,4710,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Marton,Marton Ward,99078,South Rangitikei Community of Learning,175.381026,-40.070854,3,152,91,31,22,6,2,0,0
2398,Mataroa School,06 388 7834,06 388 7834,admin@mataroa.school.nz,Michelle Calderbank,http://www.mataroa.school.nz,30 Rongoiti Road,,Taihape,30 Rongoiti Road RD 1,,Taihape,4791,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Moawhango,Taihape Ward,99169,Taihape Community of Learning,175.720986,-39.651711,7,39,18,21,0,0,0,0,0
2400,Milson School,06 355 4767,06 358 2697,office@milson.school.nz,Tracy Thorn (Acting),http://www.milson.school.nz,Rutland Place,Milson,Palmerston North,7 Rutland Place,Milson,Palmerston North,4414,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Milson,Area Outside Ward,99052,Palmerston North East Community of Learning,175.612512,-40.331727,4,371,193,139,12,24,2,1,0
2401,Moawhango School,06 388 0276,06 388 0272,office@moawhango.school.nz,Ahnna Stewart,http://www.schoolground.co.nz/moawhango,Te Moehau Road,,Moawhango,Te Moehau Road RD 2,,Taihape,4792,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Rangitikei District,Manawatu-Wanganui Region,Whanganui,Taranaki/Whanganui/Manawatu,Rangitikei,Te Tai Hauauru,Moawhango,Taihape Ward,,,175.861437,-39.580871,5,11,1,10,0,0,0,0,0
